geo;indicator;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
hrv;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;1.21;;;;0.9302;;;;;;1.2034;;;4.7502;;;3.6668
hti;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.12;;;;;;;;;;;;;;
hun;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.666;13.628;12.222000000000001;6.303999999999999;7.1695;13.5652;21.1415;;;;;;1.4002;3.2633;1.2528;0.7236;1.2799;1.145;0.5853;0.6887;2.8718;2.3718;2.1357;2.4606;1.6695;0.4407
idn;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0935;0.9169;;2.5676;3.2764;1.6332;0.5631;0.6275;0.1304;0.0768;0.8447;;;;;0.0601;0.1674;0.1723
ind;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1066;;;;;;;;;;;0.1969;;;;;0.1164;;0.2302;;;;;
irl;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.7274;3.1451;3.5171;2.4201;3.4635;2.7508;2.5665;3.0815;2.8635;2.9912;3.0921;4.4407;2.1109;3.9713;2.0322;0.7888;0.5876;0.3666;;0.677;0.5048;0.9399;0.4846;0.3773;0.7111;0.41200000000000003;1.0743;1.8373;1.3092;1.5149;1.986;1.6499;1.9525;1.8208;1.5246
irn;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.08;0.91;1.32;1.59;;;;1.02;0.88;1.59;1.87
irq;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.5571;;;;;2.0595;;;;;
isl;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.27699999999999997;3.716;4.555;4.3839999999999995;;2.6417;;;4.3887;3.8132;;;;;;1.9901;1.8574;1.6293;2.4711;3.5571;4.1234;3.3341;2.9009;1.7653;0.6693;;
isr;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.6610000000000005;4.409;2.449;4.132;2.504;2.057;2.149;3.635;4.311;3.761;5.455;2.8760000000000003;4.533;4.123;6.882000000000001;3.8;5.5920000000000005;6.232;4.292;4.377;3.813;3.924;4.322;3.73;3.696;3.327;3.076;2.88
ita;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.4718;1.1165;0.9365;2.1689;1.1235;0.9844;0.5481;1.7238;1.2692;1.7662;5.8427;2.3982;3.5682;3.7414;3.7045;2.2833;2.7542;2.7749;1.8788;1.6067;1.8335;1.933;1.2277;1.3222;0.6595;1.6119;1.0442;1.1574;1.0681;1.8319;1.7395;1.3088;1.7855;1.9014;1.8445
