geo;indicator;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
hnd;residential_energy_use_percent;;;;;;;;;;;;69.05;67.98;66.84;66.65;66.01;65.73;64.32;63.32;62.09;60.63;61.78;61.99;60.52;59.64;60.27;60.13;57.2;56.0;54.52;55.68;55.94;54.77;53.81;52.61;53.03;52.0;55.11;53.41;44.08;48.22;43.59;43.0;42.15;43.46;44.47;46.28;44.83;46.94;47.79;48.31
hrv;residential_energy_use_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21.19;25.36;24.9;24.99;24.49;26.7;28.57;27.78;27.75;28.23;27.76;27.6;28.04;28.18;27.49;27.59;26.26;24.06;24.58;26.17;22.86
hti;residential_energy_use_percent;;;;;;;;;;;;82.02;81.62;82.37;81.97;82.25;80.25;80.94;80.32;80.31;80.96;80.56;79.31;78.75;78.48;78.31;74.77;74.53;73.73;73.48;72.98;73.6;69.8;75.62;84.68;74.19;76.07;72.64;71.62;67.36;63.72;66.4;62.42;62.05;59.73;61.59;61.6;59.92;59.62;62.59;63.87
hun;residential_energy_use_percent;;;;;;23.94;21.45;20.55;20.66;21.52;22.33;21.41;21.73;22.94;21.85;21.3;23.13;21.76;22.71;23.16;23.88;24.47;25.3;25.87;26.28;28.31;27.94;29.21;29.25;29.05;32.48;35.81;37.22;37.15;36.34;35.97;35.25;34.16;32.61;33.63;32.54;33.69;33.31;35.5;32.66;32.36;31.54;29.66;29.97;30.93;31.65
idn;residential_energy_use_percent;;;;;;;;;;;;85.2;84.49;84.01;82.53;80.68;80.45;77.84;74.83;72.83;70.13;68.99;68.61;68.41;68.7;65.32;62.93;61.36;59.87;59.38;52.15;51.24;50.45;48.88;47.25;45.94;44.04;43.69;45.56;43.85;43.16;42.95;43.35;42.68;41.87;41.54;39.98;40.6;40.25;38.48;37.03
ind;residential_energy_use_percent;;;;;;;;;;;;57.44;57.3;57.51;57.06;56.39;56.03;55.92;56.2;55.58;56.08;54.74;54.09;53.83;52.25;52.49;51.49;51.62;50.27;49.54;48.87;48.2;47.83;48.07;47.07;46.43;46.41;45.6;46.49;45.73;45.4;45.98;45.14;44.93;44.33;43.56;42.26;41.24;40.08;38.32;37.65
irl;residential_energy_use_percent;52.39;52.36;48.35;49.21;45.02;43.23;44.45;40.64;43.64;41.72;39.43;35.89;35.5;35.31;36.25;36.29;36.16;33.32;29.92;30.25;28.75;29.69;32.03;33.02;30.39;29.87;31.07;29.32;29.37;28.75;29.33;28.63;26.74;26.71;25.65;25.74;25.79;24.24;24.34;23.67;22.96;23.33;23.25;24.26;24.26;23.72;23.64;23.09;24.93;27.06;28.29
irn;residential_energy_use_percent;;;;;;;;;;;;17.37;19.14;18.51;18.46;19.23;19.71;19.72;20.15;23.4;22.46;23.16;24.47;25.86;26.0;25.98;24.52;23.79;23.84;23.92;22.82;23.29;26.09;26.8;28.53;29.72;30.67;31.01;30.84;30.62;32.09;31.24;33.35;32.72;32.87;32.05;32.31;31.63;29.72;29.93;29.7
irq;residential_energy_use_percent;;;;;;;;;;;;33.08;29.82;29.34;30.66;29.02;27.06;25.91;24.43;22.02;23.33;21.33;18.24;19.37;19.35;20.45;22.05;23.23;15.3;15.4;14.71;10.85;10.72;15.07;15.5;19.11;20.35;14.88;15.8;15.66;16.38;15.84;16.06;19.66;17.67;27.0;27.37;23.78;26.66;26.94;28.17
isl;residential_energy_use_percent;38.95;40.74;39.61;40.82;42.23;41.32;42.53;45.92;45.7;50.37;47.92;46.16;44.9;43.47;42.56;44.55;43.42;42.9;41.63;43.0;41.68;43.33;42.53;41.73;39.51;39.39;38.29;37.88;38.45;38.37;35.19;34.5;34.82;35.22;32.39;33.31;30.64;31.01;28.76;29.08;28.57;28.99;29.34;29.26;27.51;27.51;26.23;23.41;17.12;17.61;17.29
isr;residential_energy_use_percent;;;;;;;;;;;;4.497;7.704;8.033;8.042;8.039;8.511000000000001;8.779;8.623;8.327;8.718;8.39;8.832;9.501;9.202;13.4;17.12;16.94;18.11;18.39;18.94;18.78;20.34;18.45;18.36;17.84;18.19;19.13;20.05;19.12;20.26;20.38;21.21;22.93;22.32;22.64;23.06;22.51;22.8;23.9;22.91
