geo;indicator;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004
fin;economic_growth_over_the_past_10_years;4.092;3.873;3.622;4.225;3.8760000000000003;3.701;3.698;3.9219999999999997;4.247;4.522;4.4;3.85;4.256;4.551;4.577;3.967;3.5660000000000003;3.625;3.508;3.158;2.9330000000000003;2.9739999999999998;2.6639999999999997;2.2769999999999997;1.989;2.176;2.535;2.6519999999999997;3.117;3.0989999999999998;2.351;1.2770000000000001;0.4952;0.01983;0.1729;0.4759;0.5229;0.8926;0.9568;0.6196;1.3519999999999999;2.32;3.0839999999999996;3.5410000000000004;3.4960000000000004
fji;economic_growth_over_the_past_10_years;;;;;;;;;;;;;;;;;;;;;3.588;2.766;2.226;0.1355;0.9897;1.358;0.1784;0.2395;-0.44;-1.268;1.476;1.851;1.253;1.567;0.9465;0.5905;2.141;1.48;1.9380000000000002;1.399;-1.219;-1.088;0.0151;0.517;
fra;economic_growth_over_the_past_10_years;3.5989999999999998;3.4589999999999996;3.5010000000000003;3.728;4.225;4.236000000000001;3.9339999999999997;3.889;4.223;4.551;4.499;4.473;4.298;4.388999999999999;4.029;3.57;3.5589999999999997;3.4160000000000004;3.323;2.969;2.675;2.365;2.262;1.8780000000000001;1.767;2.052;1.8730000000000002;1.819;1.9280000000000002;1.966;2.041;2.009;1.86;1.5630000000000002;1.652;1.6909999999999998;1.505;1.5230000000000001;1.486;1.469;1.635;1.746;1.685;1.921;1.944
fsm;economic_growth_over_the_past_10_years;;;;;;;;;;;;;;;;;;;;;1.945;2.6489999999999996;3.033;1.365;0.04872;0.83;1.374;1.17;1.149;0.9545;2.088;1.796;1.715;1.198;2.628;2.251;1.396;0.9814;0.6489;0.1849;0.9965;0.7034;0.6891;0.3616;
gab;economic_growth_over_the_past_10_years;;;;;;;;;;;8.144;7.71;8.38;7.35;7.452000000000001;6.178999999999999;10.64;5.919;1.911;0.8009999999999999;0.8749;-0.5416;-1.9969999999999999;-2.839;-3.93;-3.752;-7.507999999999999;-5.257999999999999;-1.899;-1.6909999999999998;-1.8630000000000002;-0.6599;-1.026;-0.7868;-0.3623;-0.3934;0.08388999999999999;-0.0368;-0.054220000000000004;-1.014;-2.205;-2.755;-2.839;-2.9960000000000004;-3.802
gbr;economic_growth_over_the_past_10_years;2.302;2.028;2.1390000000000002;1.992;2.114;1.995;2.041;2.14;2.4619999999999997;2.33;2.1590000000000003;2.262;2.485;2.895;2.369;2.092;2.281;2.145;2.168;2.301;1.8980000000000001;1.548;1.382;1.02;1.347;1.7530000000000001;1.824;2.185;2.37;2.303;2.532;2.46;2.332;2.197;2.37;2.285;2.151;2.0180000000000002;1.8090000000000002;1.8659999999999999;2.188;2.557;2.7060000000000004;2.696;2.571
geo;economic_growth_over_the_past_10_years;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.8553;4.314;8.745
gha;economic_growth_over_the_past_10_years;;;;;;-4.072;1.635;1.255;2.9189999999999996;5.0760000000000005;10.84;9.487;8.032;9.404;6.181;13.12;4.633;3.5460000000000003;3.41;3.688;0.9051;0.00436;-1.9069999999999998;-2.1590000000000003;-1.375;-0.6092;0.2682;1.317;-0.3891;-0.3305;0.1182;0.2244;0.1199;1.374;0.7845;1.899;1.137;0.3242;0.5929;0.585;1.902;1.736;1.945;1.891;
gin;economic_growth_over_the_past_10_years;;;;;;;;;;-0.1919;-2.755;-2.997;-2.773;-3.028;-1.6369999999999998;-1.764;-1.072;-1.208;-0.8042;-0.6812;0.9359999999999999;0.3744;0.5797;-0.056589999999999994;-0.9487;-1.286;-1.7469999999999999;-1.251;-1.1;-0.9755;-1.464;-1.319;-1.2209999999999999;-0.4012;-0.156;0.7074;0.7937;1.09;1.218;1.349;1.4880000000000002;2.345;2.688;2.725;3.2539999999999996
gmb;economic_growth_over_the_past_10_years;;;;;;;;;;;1.9580000000000002;2.8289999999999997;3.2430000000000003;1.374;2.612;1.2229999999999999;0.7932;1.287;0.218;-0.353;-0.3895;-0.0544;1.089;0.4409;-0.165;-1.145;-0.6268;-1.012;-0.1781;0.5216;0.2744;-0.043;-0.9004;-1.004;-1.117;-1.557;-1.7;-1.4769999999999999;-0.9595;0.06624;0.4442;0.7903;0.008190000000000001;0.7290000000000001;
